draw_date,num1,num2,num3,num4,num5,num6,game_cd,RESULT
2016-07-17 00:00:00.0,39,5,11,26,16,28,5,390511261628
2016-07-22 00:00:00.0,9,47,4,20,52,5,5,094704205205
2016-07-24 00:00:00.0,10,30,22,34,50,28,5,103022345028
2016-07-29 00:00:00.0,20,55,14,22,18,30,5,205514221830
2016-07-31 00:00:00.0,21,27,55,47,46,19,5,212755474619
2016-08-05 00:00:00.0,2,9,6,30,52,8,5,020906305208
2016-08-07 00:00:00.0,55,36,33,30,53,32,5,553633305332
2016-08-12 00:00:00.0,50,19,25,15,51,14,5,501925155114
2016-08-14 00:00:00.0,5,54,48,17,1,39,5,055448170139
2016-08-19 00:00:00.0,7,38,40,31,53,30,5,073840315330
2016-08-21 00:00:00.0,24,10,42,30,25,13,5,241042302513
2016-08-26 00:00:00.0,38,37,57,22,30,53,5,383757223053
2016-08-28 00:00:00.0,20,12,2,3,15,22,5,201202031522
2016-09-02 00:00:00.0,48,34,36,16,27,35,5,483436162735
2016-09-04 00:00:00.0,13,47,26,28,1,48,5,134726280148
2016-09-09 00:00:00.0,29,27,34,47,4,12,5,292734470412
2016-09-11 00:00:00.0,11,15,20,8,49,37,5,111520084937
2016-09-16 00:00:00.0,23,41,13,46,43,58,5,234113464358
2016-09-18 00:00:00.0,13,51,12,2,6,36,5,135112020636
2016-09-23 00:00:00.0,32,56,27,57,15,9,5,325627571509
2016-09-25 00:00:00.0,56,50,52,14,21,25,5,565052142125
2016-09-30 00:00:00.0,51,49,47,25,39,5,5,514947253905
2016-10-02 00:00:00.0,29,1,44,38,28,32,5,290144382832
2016-10-07 00:00:00.0,56,45,33,54,52,18,5,564533545218
2016-10-09 00:00:00.0,37,16,13,44,54,25,5,371613445425
2016-10-14 00:00:00.0,49,31,25,52,53,33,5,493125525333
2016-10-16 00:00:00.0,4,3,35,56,39,5,5,040335563905
2016-10-21 00:00:00.0,51,46,43,47,12,32,5,514643471232
2016-10-23 00:00:00.0,26,44,4,57,21,54,5,264404572154
2016-10-28 00:00:00.0,46,32,2,57,15,3,5,463202571503
2016-10-30 00:00:00.0,1,34,41,2,10,21,5,013441021021
2016-11-04 00:00:00.0,58,6,25,47,38,41,5,580625473841
2016-11-06 00:00:00.0,54,48,58,42,21,15,5,544858422115
2016-11-11 00:00:00.0,8,51,7,32,37,17,5,085107323717
2016-11-13 00:00:00.0,15,2,31,58,56,22,5,150231585622
2016-11-18 00:00:00.0,43,42,29,10,41,4,5,434229104104
2016-11-20 00:00:00.0,58,53,26,42,54,28,5,585326425428
2016-11-25 00:00:00.0,46,32,10,56,27,48,5,463210562748
2016-11-27 00:00:00.0,4,31,13,36,24,53,5,043113362453
2016-12-02 00:00:00.0,17,40,58,27,47,5,5,174058274705
2016-12-04 00:00:00.0,30,2,17,42,1,3,5,300217420103
2016-12-09 00:00:00.0,55,23,29,22,53,41,5,552329225341
2016-12-11 00:00:00.0,44,33,5,52,50,58,5,443305525058
2016-12-16 00:00:00.0,19,34,58,28,8,36,5,193458280836
2016-12-18 00:00:00.0,8,56,7,43,13,17,5,085607431317
2016-12-23 00:00:00.0,40,14,34,45,20,36,5,401434452036
2016-12-30 00:00:00.0,38,58,23,42,34,8,5,385823423408
2017-01-06 00:00:00.0,21,17,54,47,8,2,5,211754470802
2017-01-08 00:00:00.0,40,50,46,44,8,12,5,405046440812
2017-01-13 00:00:00.0,45,19,6,7,8,22,5,451906070822
2017-01-15 00:00:00.0,22,52,43,54,4,18,5,225243540418
2017-01-20 00:00:00.0,40,43,39,21,52,46,5,404339215246
2017-01-22 00:00:00.0,39,9,30,20,34,1,5,390930203401
2017-01-27 00:00:00.0,5,41,53,12,16,46,5,054153121646
2017-01-29 00:00:00.0,23,47,34,14,52,57,5,234734145257
2017-02-03 00:00:00.0,17,30,6,13,43,31,5,173006134331
2017-02-05 00:00:00.0,47,6,36,48,10,25,5,470636481025
2017-02-10 00:00:00.0,12,5,1,18,22,35,5,120501182235
2017-02-12 00:00:00.0,32,47,18,26,57,58,5,324718265758
2017-02-14 00:00:00.0,3,34,6,13,7,19,5,033406130719
2017-02-17 00:00:00.0,41,44,8,26,15,1,5,414408261501
2017-02-19 00:00:00.0,9,3,40,53,27,20,5,090340532720
2017-02-21 00:00:00.0,35,48,29,56,17,33,5,354829561733
2017-02-24 00:00:00.0,49,22,39,42,25,47,5,492239422547
2017-02-26 00:00:00.0,11,34,46,2,27,45,5,113446022745
2017-02-28 00:00:00.0,11,26,20,19,56,31,5,112620195631
2017-03-03 00:00:00.0,17,36,44,32,19,33,5,173644321933
2017-03-05 00:00:00.0,21,34,58,14,57,9,5,213458145709
2017-03-07 00:00:00.0,28,10,50,38,36,24,5,281050383624
2017-03-10 00:00:00.0,34,27,2,17,15,38,5,342702171538
2017-03-12 00:00:00.0,16,2,10,9,54,35,5,160210095435
2017-03-14 00:00:00.0,6,7,19,16,36,4,5,060719163604
2017-03-17 00:00:00.0,19,24,58,15,9,14,5,192458150914
2017-03-19 00:00:00.0,51,48,4,39,9,19,5,514804390919
2017-03-21 00:00:00.0,24,53,10,38,4,49,5,245310380449
2017-03-24 00:00:00.0,30,18,43,37,9,39,5,301843370939
2017-03-26 00:00:00.0,39,17,44,1,12,13,5,391744011213
2017-03-28 00:00:00.0,10,21,23,6,27,9,5,102123062709
2017-03-31 00:00:00.0,1,3,43,16,8,24,5,010343160824
2017-04-02 00:00:00.0,22,48,57,12,33,43,5,224857123343
2017-04-04 00:00:00.0,23,21,30,26,44,34,5,232130264434
2017-04-07 00:00:00.0,36,49,58,46,3,2,5,364958460302
2017-04-09 00:00:00.0,57,24,45,50,25,40,5,572445502540
2017-04-11 00:00:00.0,51,13,6,25,15,58,5,511306251558
2017-04-18 00:00:00.0,3,6,24,15,18,38,5,030624151838
2017-04-21 00:00:00.0,24,23,34,2,29,32,5,242334022932
2017-04-23 00:00:00.0,47,9,6,48,56,17,5,470906485617
2017-04-25 00:00:00.0,3,27,23,29,47,57,5,032723294757
2017-04-28 00:00:00.0,14,44,46,56,31,16,5,144446563116
2017-04-30 00:00:00.0,33,38,29,57,31,53,5,333829573153
2017-05-02 00:00:00.0,22,34,25,23,18,33,5,223425231833
2017-05-05 00:00:00.0,26,33,58,56,39,37,5,263358563937
